id_regiao_planejamento,ap_bairro,bairro,lat,long,endereco
1.1,AP 1.1 - Centro,Centro,'-22.907090,'-43.208930,"R. Pedro Alves, 311 - Santo Cristo, Rio de Janeiro - RJ, 20220-283"
2.1,AP 2.1 - Zona Sul,Zona Sul,'-22.968931,'-43.201832,"Lagoa, Rio de Janeiro - RJ"
2.2,AP 2.2 - Tijuca,Tijuca,'-22.943738,'-43.240806,"R. Castelo Novo, 413 - Tijuca, Rio de Janeiro - RJ, 20530-120"
3.1,AP 3.1 - Ramos,Ramos,'-22.858152,'-43.247817,"Rua 17 de Fevereiro, 102C - Bonsucesso, Rio de Janeiro - RJ, 21042-760"
3.2,AP 3.2 - Meier,Meier,'-22.899457,'-43.280302,"Av. Amaro Cavalcanti, 15 - Méier, Rio de Janeiro - RJ, 20735-040"
3.3,AP 3.3 - Madureira,Madureira,'-22.858773,'-43.334166,"Váz Lobo, Rio de Janeiro - RJ"
3.4,AP 3.4 - Inhaúma,Inhaúma,'-22.867076,'-43.279674,"R. São Pedro, 56 - Inhauma, Rio de Janeiro - RJ"
3.5,AP 3.5 - Penha,Penha,'-22.828848,'-43.294005,"Rua Itabira, 343 - Brás de Pina, Rio de Janeiro - RJ, 21215-310"
3.6,AP 3.6 - Pavuna,Pavuna,'-22.825014,'-43.379834,"Pavuna, Rio de Janeiro - RJ"
3.7,AP 3.7 - Ilha do Governador,Ilha do Governador,'-22.803542,'-43.212141,"Ilha do Governador, R. Bocaiúva, nº 350 - Jardim Guanabara, Rio de Janeiro - RJ, 21931-340"
4.1,AP 4.1 - Jacarepaguá,Jacarepaguá,'-22.941678,'-43.360875,"Salao Beleza Da Mulher, R. Min. Gabriel de Piza, 546 - Jacarepaguá, Rio de Janeiro - RJ, 22770-360"
4.2,AP 4.2 - Barra da Tijuca,Barra da Tijuca,'-22.990383,'-43.419226,"Barra da Tijuca, Rio de Janeiro - RJ"
5.1,AP 5.1 - Bangu,Bangu,'-22.869157,'-43.468649,"Tv. da Prata, 37-1 - Bangu, Rio de Janeiro - RJ, 21862-430"
5.2,AP 5.2 - Campo Grande,Campo Grande,'-22.890034,'-43.566839,"R. Vítor Alves, 1429 - Campo Grande, Rio de Janeiro - RJ, 23080-180"
5.3,AP 5.3 - Santa Cruz,Santa Cruz,'-22.910274,'-43.679449,"R. dos Bambus, 162 - Santa Cruz, Rio de Janeiro - RJ, 23570-260"
5.4,AP 5.4 - Guaratiba,Guaratiba,'-22.96477646089086,'-43.62066799429958,"Guaratiba, Rio de Janeiro - RJ"
